TagStatus,Rev,TagNo,PIDNo,Service,InstrumentType,LineSize,LineSpec,FluidName,FluidState,OPMax,OPNor,OPMin,OTMax,OTNor,OTMin,DesignPressInt,DesignPressExt,DesignTempHot,DesignTempCold,FlowMax,FlowNor,FlowMin,MaxAllowDP,Density,Viscosity,MolWeight,CpCv,CompFactorZ,CriticalPress,VaporPress,Flash,ShutOffDP,FailPosition,Remark,FlowUOM,PressUOM,TempUOM,InstRemark1,InstRemark2
,,FI-3134,YIP3-0005,FA-3134 EQUIPMENT,ROTAMETER,"1""",FF55C,PDI ,L,-,0.9,-,-,42,-,8,-,120,-,100,20,14,0.2,963.1,0.654,-,-,-,-,-,-,-,-,,L/h,,,,
,,FI-3353AX,YIP3-0007,GA-3353A SEAL PLAN,,"1/2""",BB55C1,NL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,FI-3353BX,YIP3-0007,GA-3353B SEAL PLAN,,"1/2""",BB55C1,NL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,FI-3373AX,YIP3-0007,GA-3373A SEAL PLAN,,"1/2""",BB55C1,NL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,FI-3373BX,YIP3-0007,GA-3373B SEAL PLAN,,"1/2""",BB55C1,NL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,FI-3374,YIP3-3007,GA-3374A/B DISCHARGE,ROTAMETER,"2""",BB55C1,PDI ,L,-,2.1,-,-,70,-,2.8,-,150,-,8,6.666666667,4.666666667,0.15,800,1,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,FI-3390,YIP3-3007,NL TO VENT HEADER (RTO),ROTAMETER,"3/4""",BB55C,NL,V,-,7,-,-,AMB,-,9,-,60,-,24,20,14,0.2,8.8,0.02,28,1.41,1,-,-,-,-,-,,Nm3/h,,,,
,,FI-3420AX,YIP3-0007,GA-3420A SEAL PLAN,,"1/2""",FF55C1,NL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,FI-3420BX,YIP3-0007,GA-3420B SEAL PLAN,,"1/2""",FF55C1,NL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FT-3111,YIP3-1001,GA-3110A/B SUCTION,MASS FLOWMETER,"1""",FF55C,PPA,L,-,-0.08,-,-,20,-,0.5,-,65,-,156,67,47,0.2,1210,4,-,-,-,-,-,-,-,-,,kg/h,,,,
